year,birth,death,other
0,112345,89019,12012
20,57563,47597,4463
40,12386,8760,3087
60,10539,7475,2465
80,8698,6884,1593
100,4577,3215,928
120,1956,1328,345
140,1755,1166,403
160,2722,1720,1001
180,15436,8031,4819
200,6235,4900,1167
220,1614,1078,206
240,1789,1030,347
260,1715,1152,415
280,1712,1227,218
300,2850,1871,446
320,2364,2024,334
340,2671,2242,474
360,2252,1776,620
380,2552,2158,885
400,3216,2413,1107
420,2539,2114,857
440,2348,2002,643
460,1885,1451,621
480,1676,1226,404
500,2308,1473,758
520,1853,1525,569
540,1436,1113,294
560,1937,1502,348
580,1585,1222,473
600,2205,1381,599
620,1950,1508,410
640,1680,1254,332
660,1507,1116,408
680,1956,1278,489
700,3173,2062,823
720,2118,1390,798
740,4593,3699,1324
760,3617,2752,1336
780,3196,2420,1206
800,6480,5258,2024
820,4357,3484,1739
840,5911,4898,2095
860,6237,5126,2444
880,5769,4797,2215
900,7848,5520,2752
920,7252,5863,2581
940,6932,5695,2827
960,7783,6063,2874
980,8561,6698,2895
1000,15711,10860,7021
1020,15179,11132,5205
1040,13474,10404,5079
1060,14590,11457,4830
1080,17408,14772,5871
1100,15817,12414,6717
1120,15411,13425,5573
1140,13934,11678,5097
1160,15160,12401,5006
1180,16240,13794,5841
1200,18303,14322,9038
1220,18996,15653,5375
1240,16792,14086,5866
1260,18600,15343,5796
1280,17747,14605,5856
1300,22147,16484,9878
1320,19681,16259,7403
1340,18607,14481,7520
1360,19782,15839,7749
1380,21470,16954,7876
1400,28312,20022,16021
1420,25642,19887,9752
1440,31955,23412,12513
1460,38392,27746,13262
1480,49849,34779,17086
1500,116135,46143,68667
1520,70639,47978,35861
1540,96929,58861,56667
1560,106168,63190,62961
1580,149748,86590,85979
1600,252978,112113,190837
1620,210033,126299,147354
1640,253756,137782,200897
1660,286375,159319,213819
1680,364696,201363,270978
1700,604452,246789,494040
1720,606014,310287,451943
1740,814733,401465,690148
1760,1057254,529084,852440
1780,1613163,813048,1314380
1800,2768451,1290380,2396125
1820,3661759,1838426,3048772
1840,5169980,2670944,4447334
1860,6502977,3532972,5274051
1880,8113361,4634693,6008202
1900,9645167,5933462,6616162
1920,8995668,5782287,5337001
1940,6493006,4479153,4375866
1960,4685590,3193373,2631708
1980,4019665,3252592,1891370
2000,3742704,3522191,1418516
2020,902825,951090,544008
2040,27570,24447,45
"*",8891045,3078800,13616631
